입력 문장,도수,술 종류,맛
나는 달달한 칵테일을 마시고 싶어.,중간,칵테일,달달한
도수가 낮은 상큼한 칵테일을 추천해줘.,낮은,칵테일,상큼한
강한 도수의 쓴맛 나는 보드카 추천해줘.,높은,보드카,쓴맛
부드럽고 달달한 위스키를 마셔보고 싶어.,높은,위스키,부드러운
상큼하고 도수가 낮은 럼주를 소개해줘.,낮은,럼,상큼한
도수가 중간이고 달달한 보드카가 있나요?,중간,보드카,달달한
신맛이 나고 도수가 강한 술을 찾고 있어요.,높은,칵테일,신맛
도수가 약하고 부드러운 칵테일 추천 부탁해요.,낮은,칵테일,부드러운
쓴맛 나는 위스키를 마셔보고 싶어.,높은,위스키,쓴맛
달달하고 상큼한 럼을 마시고 싶어요.,중간,럼,달달한
가볍고 부드러운 칵테일이 필요해요.,낮은,칵테일,부드러운
진하고 쓴 럼을 추천해줄래?,높은,럼,쓴맛
부드럽고 달달한 술이 있었으면 좋겠어요.,중간,칵테일,달달한
상큼한 맛이 나는 도수가 높은 보드카를 마셔보고 싶어요.,높은,보드카,상큼한
쓴맛이 강한 위스키를 소개해주세요.,높은,위스키,쓴맛
도수가 낮고 달달한 술을 마시고 싶어요.,낮은,칵테일,달달한
도수가 높은 럼 중에서 신맛 나는 술을 찾고 있어요.,높은,럼,신맛
가볍고 상큼한 칵테일 추천 부탁드립니다.,낮은,칵테일,상큼한
쓴맛이 적고 부드러운 보드카를 원해요.,중간,보드카,부드러운
달달한 맛이 나는 위스키를 찾고 있어요.,높은,위스키,달달한
신맛이 강하고 도수가 낮은 술 추천 부탁드려요.,낮은,칵테일,신맛
강한 도수의 부드러운 위스키를 추천해줘.,높은,위스키,부드러운
쓴맛과 상큼함이 공존하는 칵테일이 있나요?,중간,칵테일,쓴맛
달달하면서 도수가 높은 보드카를 찾고 있어요.,높은,보드카,달달한
가볍고 신맛 나는 럼을 추천해주세요.,낮은,럼,신맛
도수 가 낮다 상큼 한 칵테일 을 소개 해주다 .,낮은,칵테일,상큼한
도수 가 낮다 상큼 한 칵테일 을 제안 해주다  마시고 싶네요.,낮은,칵테일,상큼한
도수 가 낮다 상큼 한 칵테일 을 안내 해주다 .,낮은,칵테일,상큼한
강하다 도수 의 쓴맛 나 는 보드카 소개 해주다 .,높은,보드카,쓴맛
강하다 도수 의 쓴맛 나 는 보드카 추천 해주다 .,높은,보드카,쓴맛
강하다 도수 의 쓴맛 나 는 보드카 추천해주 해주다 .,높은,보드카,쓴맛
도수 가 적당한 이고 달달 한 보드카 가 있다 ?,중간,보드카,달달한
도수 가 무난한 이고 달달 한 보드카 가 있다 ?,중간,보드카,달달한
도수 가 보통의 이고 달달 한 보드카 가 있다 ?,중간,보드카,달달한
도수 가 약하다 부드럽다 칵테일 제안 부탁 하다 .,낮은,칵테일,부드러운
도수 가 약하다 부드럽다 칵테일 소개 부탁 하다 는 어떠세요?,낮은,칵테일,부드러운
도수 가 약하다 부드럽다 칵테일 조언 부탁 하다 .,낮은,칵테일,부드러운
진하다 쓸다 럼 을 알려주 해주다 ?,높은,럼,쓴맛
진하다 쓸다 럼 을 알려주 해주다 를 추천해주실 수 있나요?,높은,럼,쓴맛
진하다 쓸다 럼 을 소개 해주다 ?,높은,럼,쓴맛
가볍다 상큼 한 칵테일 알려주 부탁드리다 를 마시고 싶은데 추천해주세요.,낮은,칵테일,상큼한
가볍다 상큼 한 칵테일 제안 부탁드리다 .,낮은,칵테일,상큼한
가볍다 상큼 한 칵테일 조언 부탁드리다  어디서 구할 수 있을까요?,낮은,칵테일,상큼한
신맛 이 강하다 도수 가 낮다 술 소개 부탁드리다 .,낮은,칵테일,신맛
오늘은 신맛 이 강하다 도수 가 낮다 술 추천해주 부탁드리다  어떨까요?,낮은,칵테일,신맛
신맛 이 강하다 도수 가 낮다 술 안내 부탁드리다 .,낮은,칵테일,신맛
강하다 도수 의 부드럽다 위스키 를 추천 해주다 를 찾고 있는데 도움주세요.,높은,위스키,부드러운
강하다 도수 의 부드럽다 위스키 를 추천해주 해주다 를 찾고 있어요.,높은,위스키,부드러운
강하다 도수 의 부드럽다 위스키 를 소개 해주다 .,높은,위스키,부드러운
가볍다 신맛 나 는 럼 을 조언 해주다 를 찾고 있는데 도움주세요.,낮은,럼,신맛
가볍다 신맛 나 는 럼 을 조언 해주다  어디서 구할 수 있을까요?,낮은,럼,신맛
가볍다 신맛 나 는 럼 을 추천해주 해주다 .,낮은,럼,신맛
